clipe,description,movie,file_path,genres,id
0001_American_Beauty_00.00.51.926-00.00.54.129,Her mind wanders for a beat.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.00.51.926-00.00.54.129/0001_American_Beauty_00.00.51.926-00.00.54.129_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.00.56.224-00.01.03.394,Someone looks at us and sits up.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.00.56.224-00.01.03.394/0001_American_Beauty_00.00.56.224-00.01.03.394_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.01.14.635-00.01.36.380,"We are FLYING above suburban America, DESCENDING SLOWLY toward a tree-lined street.",0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.01.14.635-00.01.36.380/0001_American_Beauty_00.01.14.635-00.01.36.380_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.01.37.227-00.01.38.586,"We are looking down at a king-sized BED from OVERHEAD: Someone lies sleeping amidst expensive bed linens, face down, wearing PAJAMAS.",0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.01.37.227-00.01.38.586/0001_American_Beauty_00.01.37.227-00.01.38.586_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.01.38.586-00.01.40.722,An irritating ALARM CLOCK RINGS.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.01.38.586-00.01.40.722/0001_American_Beauty_00.01.38.586-00.01.40.722_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.01.39.471-00.01.40.273,Someone gropes blindly to shut it off.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.01.39.471-00.01.40.273/0001_American_Beauty_00.01.39.471-00.01.40.273_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.01.43.985-00.01.48.384,"He rolls over, looks up at us and sighs.",0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.01.43.985-00.01.48.384/0001_American_Beauty_00.01.43.985-00.01.48.384_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.01.54.908-00.01.57.611,He sits up and puts on his slippers.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.01.54.908-00.01.57.611/0001_American_Beauty_00.01.54.908-00.01.57.611_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.01.57.944-00.02.01.546,Someone thrusts his face directly into a steaming hot shower.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.01.57.944-00.02.01.546/0001_American_Beauty_00.01.57.944-00.02.01.546_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.02.02.178-00.02.04.098,ANGLE from outside the shower: Someone's naked body is silhouetted through the fogged-up glass door.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.02.02.178-00.02.04.098/0001_American_Beauty_00.02.02.178-00.02.04.098_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.02.04.469-00.02.14.801,It becomes apparent he is masturbating.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.02.04.469-00.02.14.801/0001_American_Beauty_00.02.04.469-00.02.14.801_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.02.15.041-00.02.16.217,"CLOSE on a single, dewy AMERICAN BEAUTY ROSE.",0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.02.15.041-00.02.16.217/0001_American_Beauty_00.02.15.041-00.02.16.217_ViT-B_32.npy,Drama,00
0001_American_Beauty_00.02.16.838-00.02.19.268,A gloved hand with CLIPPERS appears and SNIPS the flower off.,0001_American_Beauty,0001_American_Beauty/0001_American_Beauty_00.02.16.838-00.02.19.268/0001_American_Beauty_00.02.16.838-00.02.19.268_ViT-B_32.npy,Drama,00
